RB,RS,age,knowledge,edu,risk,household,lnincome,city level,income
1,687,39,2.75,7,0,0,8.517193191,3,5000
1,190,48,4.5,4,0,0,8.517193191,3,5000
1,269,38,4.25,4,0,0,8.517193191,3,5000
1,1200,33,2.75,6,1,0,8.517193191,3,5000
1,1000,50,2.25,4,0,0,8.517193191,3,5000
1,500,25,4,5,1,0,8.517193191,3,5000
1,20000,23,2,3,0,0,8.517193191,3,5000
1,200,26,3.75,7,0,0,8.517193191,3,5000
1,400,39,4.5,4,0,0,8.517193191,3,5000
1,10000,39,3,7,0,1,8.517193191,3,5000
1,2000,33,3.75,4,0,1,8.517193191,3,5000
1,212,35,4.5,5,0,0,8.29404964,3,4000
1,1000,43,1.5,6,1,0,8.517193191,3,5000
1,1000,35,3.25,7,0,0,8.517193191,3,5000
1,44,30,3.25,4,0,0,8.517193191,3,5000
1,300,31,3.25,4,0,0,8.517193191,3,5000
1,572,40,2.5,5,1,0,8.517193191,3,5000
1,71,30,3.25,7,0,0,8.517193191,3,5000
1,0,53,3,4,0,0,8.517193191,3,5000
1,608,48,4,5,0,1,8.517193191,3,5000
1,68,69,1.25,2,0,1,8.517193191,3,5000
1,300,68,4.5,3,0,1,8.517193191,3,5000
1,6719,53,3.25,7,0,1,8.517193191,3,5000
1,10000,31,3,7,0,1,8.517193191,3,5000
1,25000,18,3.75,6,1,0,8.517193191,3,5000
1,25000,27,4.5,5,0,0,8.517193191,3,5000
1,45,22,2,6,0,0,8.517193191,3,5000
1,300,38,4.5,3,0,0,8.517193191,3,5000
1,800,55,4.5,4,0,1,8.699514748,3,6000
1,1000,43,3,7,0,0,8.648221454,3,5700
1,1300,44,3.25,3,0,0,8.699514748,3,6000
1,2000,66,3.75,3,0,0,8.779557456,3,6500
1,276,35,2.75,4,0,0,8.517193191,3,5000
1,1000,61,3.25,4,0,0,8.699514748,3,6000
1,52000,37,2.25,7,0,1,8.517193191,3,5000
1,27628,46,4.5,7,0,1,8.517193191,3,5000
1,40200,32,4,6,0,1,8.517193191,3,5000
1,0,37,3,4,0,1,8.517193191,3,5000
1,150,29,4.5,4,0,0,8.517193191,3,5000
1,1000,29,3.75,4,1,0,8.517193191,3,5000
1,2000,22,3.5,4,1,0,8.517193191,3,5000
1,500,34,4.5,7,0,1,8.517193191,3,5000
1,1200,44,4.5,7,0,1,8.517193191,3,5000
1,536,41,3.25,7,1,0,8.517193191,3,5000
1,50,60,3.25,3,0,0,8.779557456,3,6500
1,150,28,4.5,5,0,1,8.517193191,3,5000
1,200,50,2.5,6,0,0,8.517193191,3,5000
1,1500,23,2.75,3,0,0,8.517193191,3,5000
1,75,57,4,4,0,1,8.699514748,3,6000
1,52,33,2.75,3,0,0,8.517193191,3,5000
1,3195,42,2.75,3,0,0,8.517193191,3,5000
1,20,34,4.5,3,0,1,8.517193191,3,5000
1,100,43,4.25,3,0,0,8.517193191,3,5000
1,62000,30,3,7,0,1,8.517193191,3,5000
1,5000,31,2.75,6,1,1,8.517193191,3,5000
1,900,32,4.25,4,0,0,8.517193191,3,5000
1,6000,37,4.5,6,0,1,8.517193191,3,5000
1,10000,29,3.5,7,1,0,8.517193191,3,5000
1,3000,48,2.75,7,0,1,8.517193191,3,5000
1,6500,20,4.25,7,1,1,8.517193191,3,5000
1,501026,24,3,8,0,1,8.517193191,3,5000
1,2000,53,4.5,3,0,0,8.517193191,3,5000
1,200,22,3,7,0,1,8.517193191,3,5000
1,21200,25,1.75,3,0,0,8.517193191,3,5000
1,5000,34,2.75,6,0,1,8.517193191,3,5000
1,1090,33,4,7,0,1,8.517193191,3,5000
1,50000,41,2.5,7,1,1,8.517193191,3,5000
1,10000,23,4,6,0,0,8.517193191,3,5000
1,2332,35,4.5,7,0,1,8.517193191,3,5000
1,5000,67,4.5,3,0,1,8.517193191,3,5000
1,5000,36,2.25,8,1,1,8.517193191,3,5000
1,10000,42,2.75,7,1,1,8.517193191,3,5000
1,0,60,2.75,7,0,1,8.517193191,3,5000
1,1113,36,2.75,7,1,1,8.517193191,3,5000
1,500,36,3.25,7,0,1,8.517193191,3,5000
1,252000,33,3.5,8,1,1,8.517193191,3,5000
1,5050,38,3.25,8,0,1,8.517193191,3,5000
1,136488,27,3,7,1,0,8.517193191,2,5000
1,0,62,2,5,1,1,8.517193191,3,5000
1,408000,57,2,7,1,1,8.517193191,3,5000
1,100000,36,2.75,4,1,1,8.517193191,3,5000
1,5044,32,0.25,7,0,1,8.517193191,2,5000
1,7186,23,3.75,8,0,1,8.517193191,3,5000
1,900,24,4.25,6,1,1,8.517193191,3,5000
1,50,31,2.75,7,1,0,8.517193191,3,5000
1,5848,36,3.5,7,0,1,8.517193191,3,5000
1,20000,28,3.25,4,1,0,8.517193191,3,5000
1,2000,58,3.5,6,0,1,8.517193191,3,5000
1,45000,31,2.25,7,1,0,8.517193191,3,5000
1,6500,26,3,7,1,1,8.517193191,3,5000
1,205000,36,2.5,6,1,0,8.517193191,1,5000
1,300,27,4.5,6,0,0,8.517193191,3,5000
1,5092,37,4,6,1,0,8.517193191,3,5000
1,5339,18,3.5,8,1,1,8.517193191,3,5000
1,2000,36,3.25,7,1,1,8.517193191,3,5000
1,2000,39,3.75,9,0,0,8.517193191,3,5000
1,309,17,3.5,6,0,0,8.699514748,3,6000
1,50000,34,4.25,7,1,1,8.517193191,2,5000
1,14755,37,4.5,7,0,1,8.517193191,3,5000
1,500,57,4.5,4,0,1,8.517193191,3,5000
1,5000,39,3,8,0,0,8.517193191,3,5000
1,500,17,2.75,8,1,1,8.517193191,3,5000
1,6000,22,3.25,7,0,1,8.517193191,3,5000
1,500,55,4.5,3,0,0,8.517193191,3,5000
1,5000,24,3.5,6,1,1,8.517193191,3,5000
1,10000,40,2.75,7,1,1,8.517193191,3,5000
1,300,31,4.25,7,0,0,8.517193191,3,5000
1,3000,31,4,7,0,0,8.517193191,3,5000
1,10000,30,3.5,7,1,1,8.517193191,3,5000
1,5000,34,3.25,7,1,1,8.517193191,3,5000
1,10000,35,3,4,1,0,8.517193191,3,5000
1,1737,41,3.75,4,0,0,8.517193191,3,5000
1,2000,41,3,3,0,0,8.517193191,3,5000
1,100,37,3.25,6,0,0,8.517193191,3,5000
1,300,42,1.5,3,0,0,8.411832676,3,4500
1,66,43,2.75,4,0,0,8.517193191,3,5000
1,1700,45,2.5,4,0,0,8.517193191,3,5000
1,244,28,3.25,3,0,0,8.517193191,3,5000
1,1067,37,3,6,0,0,8.517193191,3,5000
1,3000,52,2.5,3,0,0,8.006367568,3,3000
1,1100,26,3,3,0,0,8.517193191,3,5000
1,388,34,2.75,7,0,0,8.517193191,3,5000
1,437,38,3.25,3,1,0,8.517193191,3,5000
1,2924,32,4.25,4,0,0,8.517193191,3,5000
1,50,36,3.25,6,0,0,8.517193191,3,5000
1,30,38,2.5,3,1,0,8.517193191,3,5000
1,10,35,3.25,4,0,0,8.517193191,3,5000
1,500,31,2.75,4,0,0,8.517193191,3,5000
1,760,34,4.25,4,0,0,8.517193191,3,5000
1,212,33,3.5,4,0,0,8.517193191,3,5000
1,294,24,3.5,3,0,0,8.517193191,3,5000
1,1000,61,2.5,2,0,1,8.517193191,3,5000
1,500,23,3.5,6,1,1,8.517193191,3,5000
1,400,37,4.5,4,1,1,8.517193191,3,5000
1,150,32,3.25,3,0,0,8.29404964,3,4000
1,70,18,3.25,3,0,1,8.517193191,3,5000
1,1488,46,3.75,4,0,0,8.517193191,3,5000
